               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12821,              0.0943,                   0,                   0,                   0,                   0,                   0,              0.1249,             0.07488,                   0,            0.070714,            0.003254,            0.003254
                   1,             0.11731,            0.064375,                   0,          7.0922e-05,           0.0033898,          3.6179e-05,          3.6179e-06,             0.12082,            0.059749,                   0,            0.040708,           0.0065808,           0.0065808
                   2,             0.11343,            0.056398,                   0,          0.00049645,            0.023729,          0.00025822,          5.8256e-05,             0.11813,             0.06631,                   0,            0.010695,            0.009901,            0.009901
                   3,             0.10694,            0.065041,                   0,            0.020527,             0.15593,           0.0093582,           0.0020231,             0.10524,            0.067602,                   0,           0.0099703,           0.0099703,           0.0099703
                   4,            0.098635,            0.061457,                   0,            0.026243,             0.19322,            0.015376,           0.0035441,             0.10292,             0.06025,                   0,           0.0099703,           0.0099703,           0.0099703
                   5,             0.10214,            0.055972,                   0,             0.08531,             0.23051,            0.047501,            0.010492,             0.10163,            0.059342,                   0,           0.0099604,           0.0099604,           0.0099604
                   6,            0.089064,            0.056098,                   0,             0.19944,             0.30169,             0.12377,            0.029904,            0.096077,            0.046477,                   0,           0.0099505,           0.0099505,           0.0099505
                   7,            0.086897,            0.049646,                   0,             0.30929,             0.36949,             0.27675,            0.085364,             0.08063,            0.053441,                   0,           0.0099406,           0.0099406,           0.0099406
                   8,            0.079669,            0.051894,                   0,             0.26435,             0.37288,             0.23733,            0.061737,            0.076947,            0.058078,                   0,           0.0099307,           0.0099307,           0.0099307
                   9,            0.074902,            0.049854,                   0,             0.32813,             0.58305,             0.33612,            0.096884,            0.068704,            0.060964,                   0,           0.0099208,           0.0099208,           0.0099208
                  10,            0.078451,            0.048363,                   0,             0.35674,             0.44746,             0.33853,             0.10406,            0.069306,            0.050629,                   0,           0.0099109,           0.0099109,           0.0099109
                  11,            0.073946,            0.050884,                   0,             0.40349,             0.54237,             0.44266,             0.14631,            0.065391,            0.052152,                   0,            0.009901,            0.009901,            0.009901
                  12,            0.069077,            0.052994,                   0,             0.37793,             0.49492,             0.36928,             0.10899,            0.067404,            0.044911,                   0,           0.0098911,           0.0098911,           0.0098911
                  13,             0.06862,            0.048994,                   0,             0.49874,             0.70169,             0.55101,             0.17259,             0.05754,            0.048417,                   0,           0.0098812,           0.0098812,           0.0098812
                  14,            0.067436,             0.04759,                   0,             0.46143,             0.68832,             0.52679,             0.17974,            0.060901,            0.046179,                   0,           0.0098713,           0.0098713,           0.0098713
                  15,            0.066693,            0.042903,                   0,             0.39018,             0.69831,              0.3975,             0.11686,            0.060388,            0.044482,                   0,           0.0098614,           0.0098614,           0.0098614
                  16,             0.06346,             0.04203,                   0,             0.58092,             0.69153,             0.61334,             0.18354,             0.05829,            0.045686,                   0,           0.0098515,           0.0098515,           0.0098515
                  17,            0.063829,            0.040779,                   0,             0.72823,             0.72668,             0.76119,             0.25971,             0.05838,            0.043796,                   0,           0.0098416,           0.0098416,           0.0098416
                  18,             0.06574,            0.042099,                   0,              0.6573,             0.70218,             0.70583,             0.24111,             0.05962,            0.041595,                   0,           0.0098317,           0.0098317,           0.0098317
                  19,             0.05942,            0.040798,                   0,              0.6624,             0.73827,             0.67608,             0.22354,            0.053991,            0.042874,                   0,           0.0098218,           0.0098218,           0.0098218
                  20,            0.060828,            0.040687,                   0,             0.67366,             0.74915,             0.66925,             0.21425,            0.060541,            0.042154,                   0,           0.0098119,           0.0098119,           0.0098119
                  21,            0.062256,            0.042518,                   0,             0.69905,             0.77627,             0.71441,             0.23262,            0.055145,            0.047143,                   0,            0.009802,            0.009802,            0.009802
                  22,            0.055998,            0.044797,                   0,             0.67977,             0.72203,             0.71978,             0.23462,            0.055672,            0.040957,                   0,           0.0097921,           0.0097921,           0.0097921
                  23,            0.057026,            0.038112,                   0,             0.63803,             0.75254,             0.71134,             0.27531,            0.052473,            0.040968,                   0,           0.0097822,           0.0097822,           0.0097822
                  24,            0.056603,            0.040554,                   0,             0.82201,             0.82373,             0.85038,             0.32889,            0.050073,            0.041896,                   0,           0.0097723,           0.0097723,           0.0097723
                  25,            0.049794,            0.042919,                   0,              0.7915,             0.78983,             0.81562,             0.29744,            0.046363,            0.042966,                   0,           0.0097624,           0.0097624,           0.0097624
                  26,            0.051246,            0.043457,                   0,             0.84916,             0.82056,             0.85868,             0.31772,            0.048758,            0.042999,                   0,           0.0097525,           0.0097525,           0.0097525
                  27,            0.054761,            0.039353,                   0,             0.74962,             0.77132,             0.76289,             0.26846,            0.053574,            0.040024,                   0,           0.0097426,           0.0097426,           0.0097426
                  28,            0.056878,            0.039677,                   0,             0.75115,             0.81695,             0.77538,             0.27668,            0.056533,            0.041195,                   0,           0.0097327,           0.0097327,           0.0097327
                  29,            0.058782,            0.037782,                   0,             0.85131,              0.8678,              0.8904,             0.32467,            0.048417,            0.040671,                   0,           0.0097228,           0.0097228,           0.0097228
                  30,            0.052106,             0.03846,                   0,             0.75885,             0.84269,             0.81122,             0.28801,            0.049292,            0.040175,                   0,           0.0097129,           0.0097129,           0.0097129
                  31,            0.052941,            0.039338,                   0,             0.83348,             0.83137,             0.82686,             0.28625,             0.05022,            0.040132,                   0,            0.009703,            0.009703,            0.009703
                  32,            0.050699,            0.036262,                   0,             0.87532,             0.88055,             0.86015,             0.32694,            0.047714,            0.040179,                   0,           0.0096931,           0.0096931,           0.0096931
